Clintonæ%;Trumpæ%;State;Clinton538;Trump538
 34.36 ; 62.08 ;Alabama;35.8;58.2
 36.55 ; 51.28 ;Alaska;40.9;48.3
 45.13 ; 48.67 ;Arizona;45.4;47.6
 33.65 ; 60.57 ;Arkansas;36.3;57.0
 61.73 ; 31.62 ;California;58.5;35.5
 48.16 ; 43.25 ;Colorado;47.7;43.6
 54.57 ; 40.93 ;Connecticut;52.8;40.2
 53.18 ; 41.79 ;Delaware;52.9;40.4
 90.48 ; 4.07 ;District of Columbia;82.9;12.4
 47.82 ; 49.02 ;Florida;48.1;47.5
 45.64 ; 50.77 ;Georgia;45.5;49.5
 62.22 ; 30.03 ;Hawaii;57.9;34.1
 27.49 ; 59.26 ;Idaho;35.9;55.5
 55.83 ; 38.76 ;Illinois;53.6;40.7
 37.91 ; 56.82 ;Indiana;40.4;52.0
 41.74 ; 51.15 ;Iowa;45.1;48.0
 36.05 ; 56.65 ;Kansas;39.0;51.5
 32.68 ; 62.52 ;Kentucky;37.9;56.1
 38.45 ; 58.09 ;Louisiana;39.4;55.5
 47.83 ; 44.87 ;Maine;49.5;42.0
 60.33 ; 33.91 ;Maryland;59.8;34.1
 60.01 ; 32.81 ;Massachusetts;58.0;34.6
 47.27 ; 47.50 ;Michigan;48.4;44.2
 46.44 ; 44.92 ;Minnesota;48.9;43.1
 40.11 ; 57.94 ;Mississippi;41.4;54.5
 38.14 ; 56.77 ;Missouri;41.4;51.4
 35.75 ; 56.17 ;Montana;37.1;52.1
 33.70 ; 58.75 ;Nebraska;36.5;54.4
 47.92 ; 45.50 ;Nevada;47.1;45.9
 46.98 ; 46.61 ;New Hampshire;47.5;43.9
 54.99 ; 41.00 ;New Jersey;53.5;42.0
 48.26 ; 40.04 ;New Mexico;45.7;39.9
 58.40 ; 36.15 ;New York;56.8;37.8
 46.17 ; 49.83 ;North Carolina;48.2;47.5
 27.23 ; 62.96 ;North Dakota;34.1;57.2
 43.56 ; 51.69 ;Ohio;45.8;47.7
 28.93 ; 65.32 ;Oklahoma;33.2;59.2
 50.07 ; 39.09 ;Oregon;50.9;41.8
 47.85 ; 48.58 ;Pennsylvania;48.9;45.2
 54.41 ; 38.90 ;Rhode Island;54.0;39.6
 40.67 ; 54.94 ;South Carolina;43.8;50.8
 31.74 ; 61.53 ;South Dakota;37.5;53.0
 34.72 ; 60.72 ;Tennessee;41.1;53.1
 43.24 ; 52.23 ;Texas;42.5;51.0
 27.46 ; 45.54 ;Utah;26.7;37.3
 55.72 ; 29.76 ;Vermont;60.2;32.8
 49.75 ; 44.43 ;Virginia;49.8;44.3
 54.30 ; 38.07 ;Washington;53.2;39.9
 26.48 ; 68.63 ;West Virginia;33.3;59.8
 46.45 ; 47.22 ;Wisconsin;49.6;44.3
 21.63 ; 67.40 ;Wyoming;27.4;62.4
 65,853,625 ; 62,985,106 ;United States;;
