Year;STATE;Turnout;
2014;United States;36;VEP
2014;Alabama;32.9;VEP
2014;Alaska;54.2;VEP
2014;Arizona;33.4;VEP
2014;Arkansas;40.1;VEP
2014;California;29.9;VEP
2014;Colorado;53.7;VEP
2014;Connecticut;42.3;VEP
2014;Delaware;34.3;VEP
2014;District of Columbia;35.3;VEP
2014;Florida;42.8;VEP
2014;Georgia;38.2;VEP
2014;Hawaii;36.2;VEP
2014;Idaho;39.3;VEP
2014;Illinois;40.2;VEP
2014;Indiana;27.8;VEP
2014;Iowa;49.8;VEP
2014;Kansas;42.5;VEP
2014;Kentucky;44.2;VEP
2014;Louisiana;43.9;VEP
2014;Maine;58.1;VEP
2014;Maryland;41.7;VEP
2014;Massachusetts;44.1;VEP
2014;Michigan;42.7;VEP
2014;Minnesota;50.4;VEP
2014;Mississippi;29;VEP
2014;Missouri;31.7;VEP
2014;Montana;46.9;VEP
2014;Nebraska;40.5;VEP
2014;Nevada;29.3;VEP
2014;New Hampshire;47.6;VEP
2014;New Jersey;31.1;VEP
2014;New Mexico;35.4;VEP
2014;New York;28.2;VEP
2014;North Carolina;40.8;VEP
2014;North Dakota;43.8;VEP
2014;Ohio;35.1;VEP
2014;Oklahoma;29.9;VEP
2014;Oregon;50.9;VEP
2014;Pennsylvania;36.1;VEP
2014;Rhode Island;41.7;VEP
2014;South Carolina;34.8;VEP
2014;South Dakota;44.3;VEP
2014;Tennessee;28.6;VEP
2014;Texas;28.3;VEP
2014;Utah;29.7;VEP
2014;Vermont;38.9;VEP
2014;Virginia;36.6;VEP
2014;Washington;41.2;VEP
2014;West Virginia;31.2;VEP
2014;Wisconsin;56.6;VEP
2014;Wyoming;39;VEP
2012;United States;58;VEP
2012;Alabama;58.6;VEP
2012;Alaska;58.7;VEP
2012;Arizona;52.6;VEP
2012;Arkansas;50.7;VEP
2012;California;55.1;VEP
2012;Colorado;69.9;VEP
2012;Connecticut;61.3;VEP
2012;Delaware;62.3;VEP
2012;District of Columbia;61.5;VEP
2012;Florida;62.8;VEP
2012;Georgia;59;VEP
2012;Hawaii;44.2;VEP
2012;Idaho;59.8;VEP
2012;Illinois;58.9;VEP
2012;Indiana;55.2;VEP
2012;Iowa;70.3;VEP
2012;Kansas;56.9;VEP
2012;Kentucky;55.7;VEP
2012;Louisiana;60.2;VEP
2012;Maine;68.2;VEP
2012;Maryland;66.6;VEP
2012;Massachusetts;65.9;VEP
2012;Michigan;64.7;VEP
2012;Minnesota;76;VEP
2012;Mississippi;59.3;VEP
2012;Missouri;62.2;VEP
2012;Montana;62.5;VEP
2012;Nebraska;60.3;VEP
2012;Nevada;56.4;VEP
2012;New Hampshire;70.2;VEP
2012;New Jersey;61.5;VEP
2012;New Mexico;54.6;VEP
2012;New York;53.1;VEP
2012;North Carolina;64.8;VEP
2012;North Dakota;59.8;VEP
2012;Ohio;64.5;VEP
2012;Oklahoma;49.2;VEP
2012;Oregon;63.1;VEP
2012;Pennsylvania;59.5;VEP
2012;Rhode Island;58;VEP
2012;South Carolina;56.3;VEP
2012;South Dakota;59.3;VEP
2012;Tennessee;51.9;VEP
2012;Texas;49.6;VEP
2012;Utah;55.5;VEP
2012;Vermont;60.7;VEP
2012;Virginia;66.1;VEP
2012;Washington;64.8;VEP
2012;West Virginia;46.3;VEP
2012;Wisconsin;72.9;VEP
2012;Wyoming;58.6;VEP
2010;United States;41;VEP
2010;Alabama;43;VEP
2010;Alaska;51.9;VEP
2010;Arizona;41;VEP
2010;Arkansas;37.5;VEP
2010;California;44;VEP
2010;Colorado;50.6;VEP
2010;Connecticut;45.9;VEP
2010;Delaware;47.5;VEP
2010;District of Columbia;28.9;VEP
2010;Florida;41.7;VEP
2010;Georgia;39.8;VEP
2010;Hawaii;39.9;VEP
2010;Idaho;42.3;VEP
2010;Illinois;42.4;VEP
2010;Indiana;37.1;VEP
2010;Iowa;49.9;VEP
2010;Kansas;41.7;VEP
2010;Kentucky;42.4;VEP
2010;Louisiana;38.9;VEP
2010;Maine;55.2;VEP
2010;Maryland;46.4;VEP
2010;Massachusetts;48.9;VEP
2010;Michigan;44.5;VEP
2010;Minnesota;55.4;VEP
2010;Mississippi;37;VEP
2010;Missouri;44.5;VEP
2010;Montana;47.5;VEP
2010;Nebraska;37.5;VEP
2010;Nevada;41.3;VEP
2010;New Hampshire;45.7;VEP
2010;New Jersey;36.4;VEP
2010;New Mexico;42.8;VEP
2010;New York;35.5;VEP
2010;North Carolina;39.2;VEP
2010;North Dakota;46.2;VEP
2010;Ohio;44.9;VEP
2010;Oklahoma;38.8;VEP
2010;Oregon;52.7;VEP
2010;Pennsylvania;41.7;VEP
2010;Rhode Island;44.8;VEP
2010;South Carolina;39.7;VEP
2010;South Dakota;52.9;VEP
2010;Tennessee;34.6;VEP
2010;Texas;32.1;VEP
2010;Utah;36.3;VEP
2010;Vermont;49.4;VEP
2010;Virginia;38.7;VEP
2010;Washington;53.2;VEP
2010;West Virginia;36.8;VEP
2010;Wisconsin;52;VEP
2010;Wyoming;45.5;VEP
2008;United States;61.6;VEP
2008;Alabama;60.8;VEP
2008;Alaska;68;VEP
2008;Arizona;56.7;VEP
2008;Arkansas;52.5;VEP
2008;California;60.9;VEP
2008;Colorado;71;VEP
2008;Connecticut;66.6;VEP
2008;Delaware;65.6;VEP
2008;District of Columbia;61.5;VEP
2008;Florida;66.1;VEP
2008;Georgia;62.5;VEP
2008;Hawaii;48.8;VEP
2008;Idaho;63.6;VEP
2008;Illinois;63.6;VEP
2008;Indiana;59.1;VEP
2008;Iowa;69.4;VEP
2008;Kansas;62;VEP
2008;Kentucky;57.9;VEP
2008;Louisiana;61.2;VEP
2008;Maine;70.6;VEP
2008;Maryland;67;VEP
2008;Massachusetts;66.8;VEP
2008;Michigan;69.2;VEP
2008;Minnesota;77.8;VEP
2008;Mississippi;61;VEP
2008;Missouri;67.6;VEP
2008;Montana;66.3;VEP
2008;Nebraska;62.9;VEP
2008;Nevada;57;VEP
2008;New Hampshire;71.7;VEP
2008;New Jersey;67;VEP
2008;New Mexico;60.9;VEP
2008;New York;59;VEP
2008;North Carolina;65.5;VEP
2008;North Dakota;62.7;VEP
2008;Ohio;66.9;VEP
2008;Oklahoma;55.8;VEP
2008;Oregon;67.7;VEP
2008;Pennsylvania;63.6;VEP
2008;Rhode Island;61.8;VEP
2008;South Carolina;58;VEP
2008;South Dakota;64.7;VEP
2008;Tennessee;57;VEP
2008;Texas;54.1;VEP
2008;Utah;56;VEP
2008;Vermont;67.3;VEP
2008;Virginia;67;VEP
2008;Washington;66.6;VEP
2008;West Virginia;49.9;VEP
2008;Wisconsin;72.4;VEP
2008;Wyoming;62.8;VEP
2006;United States;40.4;VEP
2006;Alabama;37.5;VEP
2006;Alaska;51;VEP
2006;Arizona;38.9;VEP
2006;Arkansas;38.7;VEP
2006;California;40.2;VEP
2006;Colorado;47.3;VEP
2006;Connecticut;46.6;VEP
2006;Delaware;42.3;VEP
2006;District of Columbia;28.3;VEP
2006;Florida;39.6;VEP
2006;Georgia;34.7;VEP
2006;Hawaii;37.9;VEP
2006;Idaho;45.4;VEP
2006;Illinois;40.2;VEP
2006;Indiana;36.6;VEP
2006;Iowa;48.1;VEP
2006;Kansas;43.6;VEP
2006;Kentucky;40.4;VEP
2006;Louisiana;29.7;VEP
2006;Maine;54.2;VEP
2006;Maryland;46.7;VEP
2006;Massachusetts;48.8;VEP
2006;Michigan;52.1;VEP
2006;Minnesota;60.1;VEP
2006;Mississippi;29.4;VEP
2006;Missouri;50;VEP
2006;Montana;56.4;VEP
2006;Nebraska;47.6;VEP
2006;Nevada;36.9;VEP
2006;New Hampshire;41.4;VEP
2006;New Jersey;39.5;VEP
2006;New Mexico;42.5;VEP
2006;New York;34.9;VEP
2006;North Carolina;31;VEP
2006;North Dakota;44.9;VEP
2006;Ohio;47.5;VEP
2006;Oklahoma;36.4;VEP
2006;Oregon;52.5;VEP
2006;Pennsylvania;44.1;VEP
2006;Rhode Island;51;VEP
2006;South Carolina;34.6;VEP
2006;South Dakota;57.8;VEP
2006;Tennessee;41.4;VEP
2006;Texas;30.9;VEP
2006;Utah;34.3;VEP
2006;Vermont;54.9;VEP
2006;Virginia;44;VEP
2006;Washington;47.3;VEP
2006;West Virginia;32.8;VEP
2006;Wisconsin;53.2;VEP
2006;Wyoming;51.1;VEP
2004;United States;60.1;VEP
2004;Alabama;57.2;VEP
2004;Alaska;69.1;VEP
2004;Arizona;54.1;VEP
2004;Arkansas;53.6;VEP
2004;California;58.8;VEP
2004;Colorado;66.7;VEP
2004;Connecticut;65;VEP
2004;Delaware;64.2;VEP
2004;District of Columbia;54.3;VEP
2004;Florida;64.4;VEP
2004;Georgia;56.2;VEP
